genres,critic_score,audience_score
Action,53.813559322033896,64.70714285714286
Adventure,66.28947368421052,75.5952380952381
Animated,65.35616438356165,71.3625
Biography,66.02222222222223,74.2127659574468
Comedy,62.36861313868613,62.59121621621622
Crime,60.945945945945944,57.142857142857146
Dance,55.5,65.0
Disaster,54.333333333333336,69.33333333333333
Documentary,82.8125,83.23529411764706
Drama,68.83739837398375,69.40298507462687
Erotic,66.25,60.45454545454545
Family,54.785714285714285,63.57142857142857
Fantasy,59.69387755102041,65.10909090909091
Found Footage,53.0,51.0
Historical,88.83333333333333,68.8
Horror,62.36363636363637,53.69798657718121
Independent,72.0,76.4
Legal,82.0,84.0
Live Action,26.7,50.3
Martial Arts,54.6,69.5
Musical,68.28205128205128,70.65217391304348
Mystery,71.33333333333333,67.8695652173913
Noir,74.0,65.71428571428571
Performance,69.0,90.0
Political,36.75,30.0
Romance,58.89772727272727,64.43010752688173
Satire,70.66666666666667,55.57142857142857
Science Fiction,60.47457627118644,59.16129032258065
Short,68.2,61.4
Slasher,60.8125,61.76470588235294
Sports,64.6842105263158,69.76923076923077
Spy,51.77777777777778,72.77777777777777
Superhero,62.457142857142856,73.62857142857143
Supernatural,52.96078431372549,58.0377358490566
Teen,63.666666666666664,60.611111111111114
Thriller,53.355555555555554,57.33112582781457
War,70.5,75.5909090909091
Western,74.84615384615384,80.84615384615384
