title,year,cast,genres,extract,url,release_date,critic_score,audience_score,cast_size,cast_group
thegrudge,2020,"Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, Jacki Weaver","['Horror', 'Supernatural']","The Grudge is a 2020 American psychological supernatural horror film written and directed by Nicolas Pesce. Originally announced as a reboot of the 2004 American remake and the original 2002 Japanese horror film Ju-On: The Grudge, the film ended up taking place before and during the events of the 2004 film and its two direct sequels, and is the fourth installment in the American The Grudge film series. The film stars Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, and Jacki Weaver, and follows a police officer who investigates several murders that are seemingly connected to a single house.",https://www.rottentomatoes.com/m/the_grudge,"Released Oct 22, 2004",41.0,46.0,6,Medium
thegrudge,2020,"Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, Jacki Weaver","['Horror', 'Supernatural']","The Grudge is a 2020 American psychological supernatural horror film written and directed by Nicolas Pesce. Originally announced as a reboot of the 2004 American remake and the original 2002 Japanese horror film Ju-On: The Grudge, the film ended up taking place before and during the events of the 2004 film and its two direct sequels, and is the fourth installment in the American The Grudge film series. The film stars Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, and Jacki Weaver, and follows a police officer who investigates several murders that are seemingly connected to a single house.",https://www.rottentomatoes.com/m/grudge,"Released Oct 22, 2004",41.0,46.0,6,Medium
thegrudge,2020,"Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, Jacki Weaver","['Horror', 'Supernatural']","The Grudge is a 2020 American psychological supernatural horror film written and directed by Nicolas Pesce. Originally announced as a reboot of the 2004 American remake and the original 2002 Japanese horror film Ju-On: The Grudge, the film ended up taking place before and during the events of the 2004 film and its two direct sequels, and is the fourth installment in the American The Grudge film series. The film stars Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, and Jacki Weaver, and follows a police officer who investigates several murders that are seemingly connected to a single house.",https://www.rottentomatoes.com/m/the_grudge,"Released Oct 22, 2004",41.0,46.0,6,Medium
thegrudge,2020,"Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, Jacki Weaver","['Horror', 'Supernatural']","The Grudge is a 2020 American psychological supernatural horror film written and directed by Nicolas Pesce. Originally announced as a reboot of the 2004 American remake and the original 2002 Japanese horror film Ju-On: The Grudge, the film ended up taking place before and during the events of the 2004 film and its two direct sequels, and is the fourth installment in the American The Grudge film series. The film stars Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, and Jacki Weaver, and follows a police officer who investigates several murders that are seemingly connected to a single house.",https://www.rottentomatoes.com/m/grudge,"Released Oct 22, 2004",41.0,46.0,6,Medium
underwater,2020,"Kristen Stewart, Vincent Cassel, Jessica Henwick, John Gallagher Jr., Mamoudou Athie, T.J. Miller","['Action', 'Horror', 'Science Fiction']","Underwater is a 2020 American science fiction action horror film directed by William Eubank. The film stars Kristen Stewart, Vincent Cassel, Jessica Henwick, John Gallagher Jr., Mamoudou Athie, and T.J. Miller.",https://www.rottentomatoes.com/m/underwater,1955,,14.0,6,Medium
likeaboss,2020,"Tiffany Haddish, Rose Byrne, Salma Hayek, Jennifer Coolidge, Billy Porter",['Comedy'],"Like a Boss is a 2020 American comedy film directed by Miguel Arteta, written by Sam Pitman and Adam Cole-Kelly, and starring Tiffany Haddish, Rose Byrne, and Salma Hayek. The plot follows two friends who attempt to take back control of their cosmetics company from an industry titan.",https://www.rottentomatoes.com/m/like_a_boss,"Released Jan 10, 2020",22.0,65.0,5,Medium
threechrists,2020,"Richard Gere, Peter Dinklage, Walton Goggins, Bradley Whitford",['Drama'],"Three Christs, also known as State of Mind, is a 2017 American drama film directed, co-produced, and co-written by Jon Avnet and based on Milton Rokeach's nonfiction book The Three Christs of Ypsilanti. It screened in the Gala Presentations section at the 2017 Toronto International Film Festival. The film is also known as: Three Christs of Ypsilanti, The Three Christs of Ypsilanti, Three Christs of Santa Monica, and The Three Christs of Santa Monica.",https://www.rottentomatoes.com/m/three_christs,"Released Jan 10, 2020",43.0,67.0,4,Medium
inherittheviper,2020,"Josh Hartnett, Margarita Levieva, Chandler Riggs, Bruce Dern, Owen Teague","['Crime', 'Drama']","Inherit the Viper is a 2019 American crime drama film directed by Anthony Jerjen, in his feature directorial debut, from a screenplay by Andrew Crabtree. It stars Josh Hartnett, Margarita Levieva, Chandler Riggs, Bruce Dern, Valorie Curry, Owen Teague, and Dash Mihok.",https://www.rottentomatoes.com/m/inherit_the_viper,"Released Jan 10, 2020",45.0,41.0,5,Medium
thesonata,2020,"Freya Tingley, Simon Abkarian, Rutger Hauer, James Faulkner","['Mystery', 'Thriller']","The Sonata is a 2018 mystery thriller film, directed by Andrew Desmond, from a screenplay by Desmond and Arthur Morin. It stars Freya Tingley, Simon Abkarian, James Faulkner, Rutger Hauer, Matt Barber and James Kermack. It was released in the United States on January 10, 2020, by Screen Media Films. It grossed $146,595 at the box office and received mixed reviews from critics.",https://www.rottentomatoes.com/m/the_sonata,2018,48.0,65.0,4,Medium
themurderofnicolebrownsimpson,2020,"Mena Suvari, Nick Stahl, Taryn Manning","['Crime', 'Horror']","The Murder of Nicole Brown Simpson is a 2019 American crime horror film directed by Daniel Farrands. The film is loosely based on the murder of Nicole Brown Simpson, presenting a version of events in which Brown Simpson is murdered by serial killer Glen Edward Rogers, and not by O. J. Simpson, her ex-husband and the primary suspect in the case. Though Mena Suvari's performance as Nicole Brown was praised, the film was panned by critics.",https://www.rottentomatoes.com/m/the_murder_of_nicole_brown_simpson,"Released Jan 10, 2020",0.0,5.0,3,Small
badboysforlife,2020,"Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton, Paola Núñez, Kate del Castillo, Nicky Jam, Joe Pantoliano","['Action', 'Comedy']","Bad Boys for Life is a 2020 American buddy cop action comedy film directed by Adil & Bilall. It is the sequel to Bad Boys II (2003) and the third installment in the Bad Boys franchise. Will Smith, Martin Lawrence, Joe Pantoliano and Theresa Randle reprise their roles in the film and are joined by Paola Núñez, Vanessa Hudgens, Jacob Scipio, Alexander Ludwig, Charles Melton, Kate del Castillo and Nicky Jam. The film was produced by Smith, Jerry Bruckheimer, and Doug Belgrad, with a screenplay written by Chris Bremner, Peter Craig and Joe Carnahan. In Bad Boys for Life, Miami detectives Mike Lowrey and Marcus Burnett investigate a string of murders tied to Lowrey's troubled past.",https://www.rottentomatoes.com/m/bad_boys_for_life,"Released Jan 17, 2020",75.0,96.0,9,Medium
